message
"Loss 0.011847656220197678, Accuracy 30.1875%"
"Loss 0.011116490699350834, Accuracy 33.328125%"
"Loss 0.010795599780976772, Accuracy 35.270833333333336%"
"Loss 0.010599986650049686, Accuracy 36.328125%"
"Loss 0.010442101396620274, Accuracy 37.55%"
"Loss 0.010328254662454128, Accuracy 38.427083333333336%"
"Loss 0.010230245999991894, Accuracy 39.0625%"
"Loss 0.010173073038458824, Accuracy 39.41796875%"
"Loss 0.010095137171447277, Accuracy 39.93055555555556%"
"Loss 0.010039301589131355, Accuracy 40.228125%"
"Loss 0.009990542195737362, Accuracy 40.49147727272727%"
"Loss 0.00994291715323925, Accuracy 40.872395833333336%"
"Loss 0.009911494329571724, Accuracy 41.12980769230769%"
"Loss 0.009854461997747421, Accuracy 41.49330357142857%"
"Loss 0.009813331998884678, Accuracy 41.862500000000004%"
"Loss 0.009797479026019573, Accuracy 42.01010101010101%"
"Loss 0.009797479026019573, Accuracy 42.01010101010101%"
"Loss 0.009111529216170311, Accuracy 46.96875%"
"Loss 0.0091069545596838, Accuracy 46.765625%"
"Loss 0.009127825498580933, Accuracy 46.65625%"
"Loss 0.009098419919610023, Accuracy 46.6953125%"
"Loss 0.009071535430848598, Accuracy 46.9375%"
"Loss 0.009040364064276218, Accuracy 47.151041666666664%"
"Loss 0.00902136042714119, Accuracy 47.33482142857143%"
"Loss 0.009016602300107479, Accuracy 47.4140625%"
"Loss 0.008988694287836552, Accuracy 47.47569444444444%"
"Loss 0.008988866582512856, Accuracy 47.44375%"
"Loss 0.008969425223767757, Accuracy 47.63068181818182%"
"Loss 0.008949565701186657, Accuracy 47.791666666666664%"
"Loss 0.008947453461587429, Accuracy 47.89663461538461%"
"Loss 0.00892549566924572, Accuracy 48.075892857142854%"
"Loss 0.008907769806683064, Accuracy 48.18333333333334%"
"Loss 0.008900493383407593, Accuracy 48.339393939393936%"
"Loss 0.008900493383407593, Accuracy 48.339393939393936%"
"Loss 0.008677974343299866, Accuracy 49.4375%"
"Loss 0.008592533878982067, Accuracy 50.390625%"
"Loss 0.008598171174526215, Accuracy 50.5625%"
"Loss 0.008606575429439545, Accuracy 50.1484375%"
"Loss 0.008578854613006115, Accuracy 50.6%"
"Loss 0.008556612767279148, Accuracy 50.96874999999999%"
"Loss 0.008553894236683846, Accuracy 50.89732142857143%"
"Loss 0.008557331748306751, Accuracy 50.796875%"
"Loss 0.00853965524584055, Accuracy 50.82986111111111%"
"Loss 0.008549985475838184, Accuracy 50.759375%"
"Loss 0.008528979495167732, Accuracy 50.88352272727272%"
"Loss 0.008518839254975319, Accuracy 50.90625%"
"Loss 0.008520051836967468, Accuracy 50.88461538461539%"
"Loss 0.008497115224599838, Accuracy 50.966517857142854%"
"Loss 0.008488531224429607, Accuracy 51.025%"
"Loss 0.008480614982545376, Accuracy 51.13131313131313%"
"Loss 0.008480614982545376, Accuracy 51.13131313131313%"
"Loss 0.008309846743941307, Accuracy 52.96875%"
"Loss 0.008224018849432468, Accuracy 52.859375%"
"Loss 0.008246287703514099, Accuracy 52.84375%"
"Loss 0.008259951137006283, Accuracy 52.98437499999999%"
"Loss 0.008246984332799911, Accuracy 53.193749999999994%"
"Loss 0.008218523114919662, Accuracy 53.53125%"
"Loss 0.008211266249418259, Accuracy 53.38392857142858%"
"Loss 0.008219754323363304, Accuracy 53.32812500000001%"
"Loss 0.00821039266884327, Accuracy 53.267361111111114%"
"Loss 0.008225283585488796, Accuracy 53.065625000000004%"
"Loss 0.008208400569856167, Accuracy 53.15625000000001%"
"Loss 0.008195995353162289, Accuracy 53.24218750000001%"
"Loss 0.008196419104933739, Accuracy 53.28846153846154%"
"Loss 0.008174591697752476, Accuracy 53.41294642857143%"
"Loss 0.008168356493115425, Accuracy 53.44375%"
"Loss 0.00815672893077135, Accuracy 53.59191919191919%"
"Loss 0.00815672893077135, Accuracy 53.59191919191919%"
"Loss 0.00804736278951168, Accuracy 54.09374999999999%"
"Loss 0.007958758622407913, Accuracy 54.65624999999999%"
"Loss 0.007966033183038235, Accuracy 54.708333333333336%"
"Loss 0.008002778515219688, Accuracy 54.48437499999999%"
"Loss 0.007981720380485058, Accuracy 54.83749999999999%"
"Loss 0.007943903096020222, Accuracy 55.119791666666664%"
"Loss 0.007950613275170326, Accuracy 55.044642857142854%"
"Loss 0.007969307713210583, Accuracy 54.859375%"
"Loss 0.007965120486915112, Accuracy 54.86805555555555%"
"Loss 0.007987463846802711, Accuracy 54.625%"
"Loss 0.007971671409904957, Accuracy 54.78125%"
"Loss 0.007967936806380749, Accuracy 54.8359375%"
"Loss 0.007976206950843334, Accuracy 54.77163461538461%"
"Loss 0.007957936264574528, Accuracy 54.877232142857146%"
"Loss 0.007948590442538261, Accuracy 54.90625%"
"Loss 0.00793699361383915, Accuracy 55.0020202020202%"
"Loss 0.00793699361383915, Accuracy 55.0020202020202%"
"Loss 0.007811093702912331, Accuracy 56.6875%"
"Loss 0.00769511004909873, Accuracy 56.99999999999999%"
"Loss 0.007734274957329035, Accuracy 56.770833333333336%"
"Loss 0.007733382750302553, Accuracy 56.625%"
"Loss 0.007742614019662142, Accuracy 56.675%"
"Loss 0.007716147229075432, Accuracy 56.885416666666664%"
"Loss 0.007725147530436516, Accuracy 56.669642857142854%"
"Loss 0.007745023351162672, Accuracy 56.5390625%"
"Loss 0.007729103323072195, Accuracy 56.604166666666664%"
"Loss 0.00774702662602067, Accuracy 56.46875%"
"Loss 0.007737763226032257, Accuracy 56.52556818181819%"
"Loss 0.007727579213678837, Accuracy 56.49999999999999%"
"Loss 0.007730472832918167, Accuracy 56.48076923076923%"
"Loss 0.0077041927725076675, Accuracy 56.611607142857146%"
"Loss 0.007698982022702694, Accuracy 56.58541666666667%"
"Loss 0.007686109747737646, Accuracy 56.72121212121212%"
"Loss 0.007686109747737646, Accuracy 56.72121212121212%"
"Loss 0.007621030323207378, Accuracy 57.06250000000001%"
"Loss 0.007490269374102354, Accuracy 57.859375%"
"Loss 0.0075073265470564365, Accuracy 57.64583333333333%"
"Loss 0.007529984228312969, Accuracy 57.5234375%"
"Loss 0.007524730637669563, Accuracy 57.96875%"
"Loss 0.007498480379581451, Accuracy 58.15104166666667%"
"Loss 0.007502404041588306, Accuracy 58.03571428571429%"
"Loss 0.007530239876359701, Accuracy 57.92578125%"
"Loss 0.00751310121268034, Accuracy 57.920138888888886%"
"Loss 0.007527179084718227, Accuracy 57.75%"
"Loss 0.00751036312431097, Accuracy 57.9375%"
"Loss 0.00750099727883935, Accuracy 58.01562500000001%"
"Loss 0.00750481802970171, Accuracy 57.932692307692314%"
"Loss 0.007482512388378382, Accuracy 58.04464285714286%"
"Loss 0.007473404053598642, Accuracy 58.037499999999994%"
"Loss 0.0074623660184443, Accuracy 58.12525252525253%"
"Loss 0.0074623660184443, Accuracy 58.12525252525253%"
"Loss 0.0073689003475010395, Accuracy 59.8125%"
"Loss 0.00726380106061697, Accuracy 59.9375%"
"Loss 0.007327536586672068, Accuracy 59.59375%"
"Loss 0.007327490020543337, Accuracy 59.49218750000001%"
"Loss 0.007312169298529625, Accuracy 59.79375%"
"Loss 0.007273067720234394, Accuracy 59.921875%"
"Loss 0.007271843031048775, Accuracy 59.875%"
"Loss 0.007289996836334467, Accuracy 59.640625%"
"Loss 0.007277686148881912, Accuracy 59.72569444444444%"
"Loss 0.007285807281732559, Accuracy 59.61562500000001%"
"Loss 0.007275458890944719, Accuracy 59.690340909090914%"
"Loss 0.007266891188919544, Accuracy 59.68750000000001%"
"Loss 0.007265476044267416, Accuracy 59.66826923076923%"
"Loss 0.007234068121761084, Accuracy 59.81696428571428%"
"Loss 0.007229304406791925, Accuracy 59.704166666666666%"
"Loss 0.0072133406065404415, Accuracy 59.830303030303035%"
"Loss 0.0072133406065404415, Accuracy 59.830303030303035%"
"Loss 0.007126239128410816, Accuracy 59.9375%"
"Loss 0.0070130894891917706, Accuracy 60.4375%"
"Loss 0.007035400252789259, Accuracy 60.34374999999999%"
"Loss 0.0070591215044260025, Accuracy 60.3984375%"
"Loss 0.007062702905386686, Accuracy 60.712500000000006%"
"Loss 0.007045668549835682, Accuracy 61.010416666666664%"
"Loss 0.007050216663628817, Accuracy 60.964285714285715%"
"Loss 0.007069117855280638, Accuracy 60.890625%"
"Loss 0.007048687431961298, Accuracy 61.0%"
"Loss 0.007066886406391859, Accuracy 60.871874999999996%"
"Loss 0.007055007386952639, Accuracy 60.91193181818182%"
"Loss 0.007051070686429739, Accuracy 60.890625%"
"Loss 0.00704957963898778, Accuracy 60.894230769230774%"
"Loss 0.007020826451480389, Accuracy 61.046875%"
"Loss 0.007013043854385614, Accuracy 61.03541666666666%"
"Loss 0.006993141025304794, Accuracy 61.14747474747475%"
"Loss 0.006993141025304794, Accuracy 61.14747474747475%"
"Loss 0.0068360548466444016, Accuracy 62.03125000000001%"
"Loss 0.006755166687071323, Accuracy 62.484375%"
"Loss 0.0067510479129850864, Accuracy 62.583333333333336%"
"Loss 0.006804664619266987, Accuracy 62.2421875%"
"Loss 0.006781830918043852, Accuracy 62.35000000000001%"
"Loss 0.006769014056771994, Accuracy 62.4375%"
"Loss 0.006789347622543573, Accuracy 62.236607142857146%"
"Loss 0.00679039815440774, Accuracy 62.21484375000001%"
"Loss 0.006768227554857731, Accuracy 62.34027777777777%"
"Loss 0.0067895581014454365, Accuracy 62.221875000000004%"
"Loss 0.0067884367890655994, Accuracy 62.298295454545446%"
"Loss 0.006785375066101551, Accuracy 62.29687499999999%"
"Loss 0.006784777157008648, Accuracy 62.31971153846154%"
"Loss 0.006747853942215443, Accuracy 62.582589285714285%"
"Loss 0.006731694098562002, Accuracy 62.6375%"
"Loss 0.006716927979141474, Accuracy 62.763636363636365%"
"Loss 0.006716927979141474, Accuracy 62.763636363636365%"
