message
"{'loss': 1.4854, 'learning_rate': 2e-05, 'epoch': 0.16}"
"{'loss': 1.2837, 'learning_rate': 1.9331997327989313e-05, 'epoch': 0.32}"
"{'loss': 1.2267, 'learning_rate': 1.8663994655978625e-05, 'epoch': 0.48}"
"{'loss': 1.1862, 'learning_rate': 1.7995991983967936e-05, 'epoch': 0.65}"
"{'loss': 1.1594, 'learning_rate': 1.7327989311957248e-05, 'epoch': 0.81}"
"{'loss': 1.138, 'learning_rate': 1.6659986639946563e-05, 'epoch': 0.97}"
"{'loss': 1.0934, 'learning_rate': 1.5991983967935874e-05, 'epoch': 1.13}"
"{'loss': 1.0796, 'learning_rate': 1.5323981295925186e-05, 'epoch': 1.29}"
"{'loss': 1.0757, 'learning_rate': 1.4655978623914497e-05, 'epoch': 1.45}"
"{'loss': 1.066, 'learning_rate': 1.3987975951903809e-05, 'epoch': 1.62}"
"{'loss': 1.0606, 'learning_rate': 1.331997327989312e-05, 'epoch': 1.78}"
"{'loss': 1.0537, 'learning_rate': 1.2651970607882434e-05, 'epoch': 1.94}"
"{'loss': 1.0054, 'learning_rate': 1.1983967935871745e-05, 'epoch': 2.1}"
"{'loss': 0.9867, 'learning_rate': 1.1315965263861057e-05, 'epoch': 2.26}"
"{'loss': 0.9839, 'learning_rate': 1.0647962591850368e-05, 'epoch': 2.42}"
"{'loss': 0.9788, 'learning_rate': 9.97995991983968e-06, 'epoch': 2.59}"
"{'loss': 0.9742, 'learning_rate': 9.311957247828992e-06, 'epoch': 2.75}"
"{'loss': 0.9712, 'learning_rate': 8.643954575818305e-06, 'epoch': 2.91}"
"{'loss': 0.9427, 'learning_rate': 7.975951903807616e-06, 'epoch': 3.07}"
"{'loss': 0.9057, 'learning_rate': 7.307949231796928e-06, 'epoch': 3.23}"
"{'loss': 0.8961, 'learning_rate': 6.63994655978624e-06, 'epoch': 3.39}"
"{'loss': 0.9019, 'learning_rate': 5.971943887775552e-06, 'epoch': 3.56}"
"{'loss': 0.8901, 'learning_rate': 5.303941215764864e-06, 'epoch': 3.72}"
"{'loss': 0.8849, 'learning_rate': 4.635938543754176e-06, 'epoch': 3.88}"
"{'loss': 0.879, 'learning_rate': 3.967935871743487e-06, 'epoch': 4.04}"
"{'loss': 0.8398, 'learning_rate': 3.2999331997327993e-06, 'epoch': 4.2}"
"{'loss': 0.8226, 'learning_rate': 2.6319305277221113e-06, 'epoch': 4.36}"
"{'loss': 0.8213, 'learning_rate': 1.963927855711423e-06, 'epoch': 4.52}"
"{'loss': 0.8141, 'learning_rate': 1.295925183700735e-06, 'epoch': 4.69}"
"{'loss': 0.8192, 'learning_rate': 6.279225116900468e-07, 'epoch': 4.85}"
