message
"{'loss': 1.5189, 'learning_rate': 1e-05, 'epoch': 0.16}"
"{'loss': 1.3247, 'learning_rate': 9.835742444152432e-06, 'epoch': 0.32}"
"{'loss': 1.2672, 'learning_rate': 9.671484888304863e-06, 'epoch': 0.48}"
"{'loss': 1.2307, 'learning_rate': 9.507227332457294e-06, 'epoch': 0.65}"
"{'loss': 1.2017, 'learning_rate': 9.342969776609725e-06, 'epoch': 0.81}"
"{'loss': 1.1838, 'learning_rate': 9.178712220762157e-06, 'epoch': 0.97}"
"{'loss': 1.1504, 'learning_rate': 9.014454664914588e-06, 'epoch': 1.13}"
"{'loss': 1.1396, 'learning_rate': 8.850197109067017e-06, 'epoch': 1.29}"
"{'loss': 1.1368, 'learning_rate': 8.685939553219448e-06, 'epoch': 1.45}"
"{'loss': 1.1232, 'learning_rate': 8.52168199737188e-06, 'epoch': 1.62}"
"{'loss': 1.1218, 'learning_rate': 8.35742444152431e-06, 'epoch': 1.78}"
"{'loss': 1.109, 'learning_rate': 8.193166885676742e-06, 'epoch': 1.94}"
"{'loss': 1.0777, 'learning_rate': 8.028909329829173e-06, 'epoch': 2.1}"
"{'loss': 1.067, 'learning_rate': 7.864651773981604e-06, 'epoch': 2.26}"
"{'loss': 1.064, 'learning_rate': 7.700394218134035e-06, 'epoch': 2.42}"
"{'loss': 1.0624, 'learning_rate': 7.5361366622864665e-06, 'epoch': 2.59}"
"{'loss': 1.0567, 'learning_rate': 7.371879106438898e-06, 'epoch': 2.75}"
"{'loss': 1.052, 'learning_rate': 7.207621550591328e-06, 'epoch': 2.91}"
"{'loss': 1.0293, 'learning_rate': 7.043363994743759e-06, 'epoch': 3.07}"
"{'loss': 1.0132, 'learning_rate': 6.87910643889619e-06, 'epoch': 3.23}"
"{'loss': 1.0005, 'learning_rate': 6.714848883048621e-06, 'epoch': 3.39}"
"{'loss': 1.0064, 'learning_rate': 6.550591327201051e-06, 'epoch': 3.56}"
"{'loss': 0.9978, 'learning_rate': 6.386333771353482e-06, 'epoch': 3.72}"
"{'loss': 0.9992, 'learning_rate': 6.222076215505913e-06, 'epoch': 3.88}"
"{'loss': 0.9924, 'learning_rate': 6.057818659658344e-06, 'epoch': 4.04}"
"{'loss': 0.963, 'learning_rate': 5.8935611038107755e-06, 'epoch': 4.2}"
"{'loss': 0.95, 'learning_rate': 5.729303547963207e-06, 'epoch': 4.36}"
"{'loss': 0.9501, 'learning_rate': 5.565045992115638e-06, 'epoch': 4.52}"
"{'loss': 0.9442, 'learning_rate': 5.400788436268068e-06, 'epoch': 4.69}"
"{'loss': 0.9466, 'learning_rate': 5.236530880420499e-06, 'epoch': 4.85}"
"{'loss': 0.9538, 'learning_rate': 5.0722733245729305e-06, 'epoch': 5.01}"
"{'loss': 0.8982, 'learning_rate': 4.908015768725362e-06, 'epoch': 5.17}"
"{'loss': 0.9013, 'learning_rate': 4.743758212877793e-06, 'epoch': 5.33}"
"{'loss': 0.9004, 'learning_rate': 4.579500657030224e-06, 'epoch': 5.49}"
"{'loss': 0.9037, 'learning_rate': 4.415243101182654e-06, 'epoch': 5.66}"
"{'loss': 0.8967, 'learning_rate': 4.250985545335085e-06, 'epoch': 5.82}"
"{'loss': 0.8989, 'learning_rate': 4.0867279894875166e-06, 'epoch': 5.98}"
"{'loss': 0.8456, 'learning_rate': 3.922470433639948e-06, 'epoch': 6.14}"
"{'loss': 0.8561, 'learning_rate': 3.758212877792379e-06, 'epoch': 6.3}"
"{'loss': 0.8522, 'learning_rate': 3.5939553219448096e-06, 'epoch': 6.46}"
"{'loss': 0.8449, 'learning_rate': 3.4296977660972408e-06, 'epoch': 6.63}"
"{'loss': 0.8553, 'learning_rate': 3.265440210249672e-06, 'epoch': 6.79}"
"{'loss': 0.8486, 'learning_rate': 3.1011826544021027e-06, 'epoch': 6.95}"
"{'loss': 0.8173, 'learning_rate': 2.936925098554534e-06, 'epoch': 7.11}"
"{'loss': 0.8026, 'learning_rate': 2.772667542706965e-06, 'epoch': 7.27}"
"{'loss': 0.8043, 'learning_rate': 2.608409986859396e-06, 'epoch': 7.43}"
"{'loss': 0.7997, 'learning_rate': 2.444152431011827e-06, 'epoch': 7.6}"
"{'loss': 0.8076, 'learning_rate': 2.2798948751642576e-06, 'epoch': 7.76}"
"{'loss': 0.7973, 'learning_rate': 2.1156373193166888e-06, 'epoch': 7.92}"
"{'loss': 0.7854, 'learning_rate': 1.95137976346912e-06, 'epoch': 8.08}"
"{'loss': 0.7624, 'learning_rate': 1.7871222076215509e-06, 'epoch': 8.24}"
"{'loss': 0.7655, 'learning_rate': 1.6228646517739818e-06, 'epoch': 8.4}"
"{'loss': 0.7664, 'learning_rate': 1.458607095926413e-06, 'epoch': 8.56}"
"{'loss': 0.7573, 'learning_rate': 1.2943495400788437e-06, 'epoch': 8.73}"
"{'loss': 0.7673, 'learning_rate': 1.1300919842312749e-06, 'epoch': 8.89}"
"{'loss': 0.7562, 'learning_rate': 9.658344283837056e-07, 'epoch': 9.05}"
"{'loss': 0.729, 'learning_rate': 8.015768725361367e-07, 'epoch': 9.21}"
"{'loss': 0.7324, 'learning_rate': 6.373193166885677e-07, 'epoch': 9.37}"
"{'loss': 0.7405, 'learning_rate': 4.7306176084099874e-07, 'epoch': 9.53}"
"{'loss': 0.7314, 'learning_rate': 3.088042049934297e-07, 'epoch': 9.7}"
"{'loss': 0.7404, 'learning_rate': 1.4454664914586072e-07, 'epoch': 9.86}"
