message
"{'loss': 1.4269, 'learning_rate': 0.001, 'epoch': 0.16}"
"{'loss': 1.4387, 'learning_rate': 0.0009835742444152431, 'epoch': 0.32}"
"{'loss': 1.4123, 'learning_rate': 0.0009671484888304862, 'epoch': 0.48}"
"{'loss': 1.4021, 'learning_rate': 0.0009507227332457293, 'epoch': 0.65}"
"{'loss': 1.3832, 'learning_rate': 0.0009342969776609724, 'epoch': 0.81}"
"{'loss': 1.3836, 'learning_rate': 0.0009178712220762155, 'epoch': 0.97}"
"{'loss': 1.3934, 'learning_rate': 0.0009014454664914586, 'epoch': 1.13}"
"{'loss': 1.3714, 'learning_rate': 0.0008850197109067018, 'epoch': 1.29}"
"{'loss': 1.3685, 'learning_rate': 0.0008685939553219449, 'epoch': 1.45}"
"{'loss': 1.3595, 'learning_rate': 0.000852168199737188, 'epoch': 1.62}"
"{'loss': 1.3591, 'learning_rate': 0.0008357424441524311, 'epoch': 1.78}"
"{'loss': 1.3565, 'learning_rate': 0.0008193166885676742, 'epoch': 1.94}"
"{'loss': 1.3489, 'learning_rate': 0.0008028909329829173, 'epoch': 2.1}"
"{'loss': 1.3371, 'learning_rate': 0.0007864651773981604, 'epoch': 2.26}"
"{'loss': 1.3394, 'learning_rate': 0.0007700394218134035, 'epoch': 2.42}"
"{'loss': 1.3354, 'learning_rate': 0.0007536136662286466, 'epoch': 2.59}"
"{'loss': 1.3308, 'learning_rate': 0.0007371879106438897, 'epoch': 2.75}"
"{'loss': 1.3214, 'learning_rate': 0.0007207621550591328, 'epoch': 2.91}"
"{'loss': 1.3154, 'learning_rate': 0.0007043363994743758, 'epoch': 3.07}"
"{'loss': 1.3145, 'learning_rate': 0.0006879106438896189, 'epoch': 3.23}"
"{'loss': 1.3031, 'learning_rate': 0.000671484888304862, 'epoch': 3.39}"
"{'loss': 1.3047, 'learning_rate': 0.0006550591327201051, 'epoch': 3.56}"
"{'loss': 1.2951, 'learning_rate': 0.0006386333771353482, 'epoch': 3.72}"
"{'loss': 1.2909, 'learning_rate': 0.0006222076215505913, 'epoch': 3.88}"
"{'loss': 1.2865, 'learning_rate': 0.0006057818659658344, 'epoch': 4.04}"
